Date,Open,High,Low,Close,Adj Close,Volume
1/22/20,9413.610352,9439.290039,9375.129883,9383.769531,9383.769531,2449390000
1/23/20,9377.719727,9409.200195,9334.129883,9402.480469,9402.480469,2460050000
1/24/20,9446.209961,9451.429688,9273.230469,9314.910156,9314.910156,2611710000
1/27/20,9092.459961,9185.450195,9088.040039,9139.30957,9139.30957,2583330000
1/28/20,9201.820313,9288.870117,9182.330078,9269.679688,9269.679688,2157830000
1/29/20,9318.259766,9329.120117,9249.040039,9275.160156,9275.160156,2223480000
1/30/20,9211.150391,9303,9185.179688,9298.929688,9298.929688,2333500000
1/31/20,9324.330078,9324.799805,9123.219727,9150.94043,9150.94043,2685840000
2/3/20,9190.719727,9299.849609,9188.549805,9273.400391,9273.400391,2420510000
2/4/20,9398.389648,9485.379883,9374.049805,9467.969727,9467.969727,2445420000
2/5/20,9574.099609,9574.94043,9454.929688,9508.679688,9508.679688,2462470000
2/6/20,9540.980469,9575.660156,9505.679688,9572.150391,9572.150391,2267300000
2/7/20,9526.639648,9570.089844,9496.530273,9520.509766,9520.509766,2238670000
2/10/20,9493.629883,9628.660156,9493.629883,9628.389648,9628.389648,2179310000
2/11/20,9680.889648,9714.740234,9617.209961,9638.94043,9638.94043,2423670000
2/12/20,9688.599609,9728.769531,9666.69043,9725.959961,9725.959961,2355000000
2/13/20,9657.040039,9748.320313,9650.019531,9711.969727,9711.969727,2239270000
2/14/20,9728.900391,9746.360352,9693.049805,9731.179688,9731.179688,2222240000
2/18/20,9679.040039,9747.679688,9675.799805,9732.740234,9732.740234,2273460000
2/19/20,9782.80957,9838.370117,9777.099609,9817.179688,9817.179688,2462530000
2/20/20,9799.200195,9820.860352,9636.94043,9750.969727,9750.969727,2735610000
2/21/20,9708.009766,9715.950195,9542.330078,9576.589844,9576.589844,2743010000
2/24/20,9188.44043,9322.879883,9166.009766,9221.280273,9221.280273,3177000000
2/25/20,9301.200195,9315.259766,8940.490234,8965.610352,8965.610352,3583400000
2/26/20,9011.549805,9148.320313,8927.799805,8980.780273,8980.780273,3567830000
2/27/20,8744.030273,8904.110352,8562.049805,8566.480469,8566.480469,4536080000
2/28/20,8269.740234,8591.820313,8264.160156,8567.370117,8567.370117,5301170000
3/2/20,8667.139648,8952.80957,8543.349609,8952.169922,8952.169922,4232760000
3/3/20,8965.099609,9070.320313,8602.889648,8684.089844,8684.089844,4336700000
3/4/20,8834.099609,9019.959961,8757.660156,9018.089844,9018.089844,3602870000
3/5/20,8790.089844,8921.080078,8677.389648,8738.589844,8738.589844,3748090000
3/6/20,8469.019531,8612.360352,8375.129883,8575.620117,8575.620117,4279850000
3/9/20,7957.930176,8243.30957,7943.160156,7950.680176,7950.680176,4530350000
3/10/20,8219.759766,8347.400391,7930.430176,8344.25,8344.25,4431930000
3/11/20,8136.25,8181.359863,7850.950195,7952.049805,7952.049805,4273890000
3/12/20,7398.580078,7712.330078,7194.669922,7201.799805,7201.799805,5066530000
3/13/20,7610.390137,7875.930176,7219.089844,7874.879883,7874.879883,4685890000
3/16/20,7392.72998,7422.200195,6882.859863,6904.589844,6904.589844,4594360000
3/17/20,7072,7406.22998,6828.910156,7334.779785,7334.779785,4900000000
